6.415987385277795;0.0	9.14346197148214;0.0	8.031062132502104;0.0	5.478448040200839;0.0	5.146984859807439;0.0	
5.866645041517226;0.0	8.052056588118806;0.0	6.59358897573031;0.0	5.159728667493125;0.0	4.84655291802597;0.0	
6.3345415846395765;0.0	6.517139087759571;0.0	5.50181737074625;0.0	5.343483040640576;0.0	5.006476364688885;0.0	
5.027315733441162;0.0	6.2279842107239585;0.0	5.399415621624413;0.0	5.149444196917781;0.0	5.220675916817635;0.0	
5.843969640345707;0.0	7.1466682865886915;0.0	6.547576219512592;0.0	5.768344267640312;0.0	5.040004545078997;0.0	
7.470413642743225;0.0	10.19436929706072;0.0	10.056029286124074;0.0	6.012912460037322;0.0	6.1907043398776604;0.0	
7.208733078400641;0.0	10.044528448723172;0.0	7.535910911284944;0.0	6.4420694960002045;0.0	5.184728084191255;0.0	
5.989240381271199;0.0	7.949314577245351;0.0	6.574006253173511;0.0	5.761309611342228;0.0	5.288918193425719;0.0	
5.710165682161606;0.0	7.573663751229491;0.0	6.669290864292793;0.0	5.534246939631505;0.0	4.814556116497081;0.0	
7.674586548294692;0.0	7.231102443806567;0.0	6.506756275954469;0.0	6.021437799172302;0.0	5.5131808904655975;0.0	
7.563564342664221;0.0	8.774687399603229;0.0	7.395396265857104;0.0	6.236092020428049;0.0	6.110097083628664;0.0	
5.967357082915617;0.0	8.37855276936018;0.0	7.642180269444539;0.0	6.003009901977704;0.0	5.381651139147893;0.0	
5.155922383796882;0.0	7.101009345206009;0.0	6.213568409414701;0.0	5.27267135886354;0.0	5.118289317928527;0.0	
6.097642157273044;0.0	7.388421577503576;0.0	6.037837678768522;0.0	5.794856597360342;0.0	4.93094253446606;0.0	
6.9810240203638845;0.0	9.242948684533022;0.0	7.171417049466243;0.0	6.856050343814989;0.0	5.845317238333973;0.0	
6.028445714291376;0.0	8.753749350223519;0.0	7.361559107670563;0.0	7.816928652308878;0.0	6.387914195701685;0.0	
6.424268260535433;0.0	9.619183279420232;0.0	9.328457549761927;0.0	7.1328572899335425;0.0	6.328436126827627;0.0	
6.822833353374925;0.0	8.5025720739979;0.0	7.202095295869375;0.0	7.666616772141437;0.0	6.127293879149886;0.0	
5.856115700952707;0.0	7.208251311239934;0.0	6.078046130523816;0.0	5.991936243224107;0.0	5.192480311103141;0.0	
7.514306501286562;0.0	8.426026325034384;0.0	7.14180122050273;0.0	6.30149340766422;0.0	5.6478428765137885;0.0	
9.352942353204497;0.0	10.774350870490833;0.0	7.646946277950074;0.0	7.935818242704146;0.0	6.0873509725167505;0.0	
